MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
TIJUANA,4,7,1409,URBANO(A),32,19,27,15,52,37,41,19,NO,OPOSITOR,3,JOVENES,MEDIA ALTA,977,257,216,258
TIJUANA,4,7,1410,URBANO(A),33,25,33,11,39,24,21,15,NO,SWITCH,1,MIXTO,MEDIA ALTA,922,279,258,280
TIJUANA,4,7,1411,URBANO(A),34,28,41,9,42,23,35,16,NO,SWITCH,1,JOVENES,MEDIA ALTA,999,321,286,322
TIJUANA,5,8,1412,URBANO(A),32,18,28,16,58,34,44,38,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,1670,381,337,382
TIJUANA,5,8,1413,URBANO(A),57,46,50,25,68,41,55,53,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,2306,489,434,490
TIJUANA,4,8,1414,URBANO(A),27,21,25,12,38,19,21,22,NO,SWITCH,1,POBLACION INDIGENA,MEDIA BAJA,1442,399,378,400
TIJUANA,4,8,1415,URBANO(A),48,33,35,29,61,32,39,31,NO,SWITCH,1,JOVENES,MEDIA,2126,543,504,544
TIJUANA,4,8,1416,URBANO(A),44,39,55,15,52,21,34,26,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1943,490,456,491
TIJUANA,4,8,1417,URBANO(A),29,23,34,10,40,16,19,14,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,2236,495,476,496
TIJUANA,4,8,1418,URBANO(A),33,20,36,10,47,9,32,28,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1572,391,359,392
TIJUANA,5,8,1419,URBANO(A),39,23,34,19,41,35,40,37,SI,SWITCH,1,POBLACION INDIGENA,MEDIA,1921,274,234,275
TIJUANA,5,8,1420,URBANO(A),50,29,42,26,92,58,74,82,SI,SWITCH,1,JOVENES,MEDIA ALTA,1293,256,182,257
